programming,maths,communication,logic,self_learning,projects_completed,years_experience,internships,gpa,career
66,77,88,66,0,1,1,0,8.6,Teacher
55,69,81,72,0,2,1,1,8.6,Teacher
50,61,90,76,0,3,0,0,8.6,Teacher
87,75,72,89,1,4,3,1,8.6,Software
51,72,92,68,1,2,0,0,8.6,Teacher
93,88,64,83,1,5,3,1,8.6,Software
87,83,67,81,1,7,1,1,8.6,Software
67,66,94,66,1,1,1,1,8.6,Teacher
93,73,72,81,1,6,3,1,8.6,Software
83,81,76,88,1,6,1,1,8.6,HR
58,65,86,66,0,1,1,0,8.6,Teacher
59,72,80,66,0,1,0,1,8.6,Teacher
69,82,70,87,1,3,1,1,8.6,HR
86,80,59,87,1,5,4,1,8.6,Software
77,82,77,86,0,3,2,1,8.6,HR
83,71,62,88,1,5,4,1,8.6,Software
71,93,69,89,1,6,1,1,8.6,HR
76,84,76,84,0,6,2,0,8.6,Software
84,73,61,84,1,6,2,1,8.6,Software
65,71,92,68,0,1,1,0,8.6,Teacher
83,82,78,75,1,5,3,1,8.6,HR
79,82,68,84,0,3,3,0,8.6,HR
52,67,89,68,1,2,1,0,8.6,Teacher
87,73,67,86,1,6,1,1,8.6,Software
84,79,64,84,1,7,1,1,8.6,Software
84,79,69,88,1,4,2,1,8.6,Software
88,71,55,80,1,4,3,1,8.6,Software
67,78,83,71,1,1,0,1,8.6,Teacher
91,85,74,76,1,4,2,1,8.6,Software
92,74,56,81,1,5,1,1,8.6,Software
92,76,73,80,1,7,2,1,8.6,Software
65,92,75,79,1,5,3,1,8.6,HR
83,74,60,79,1,6,3,1,8.6,Software
69,87,66,81,0,3,2,1,8.6,HR
58,66,92,66,1,3,1,1,8.6,Teacher
58,61,93,68,0,1,0,0,8.6,Teacher
91,81,62,83,1,7,1,1,8.6,Teacher
55,67,92,76,0,1,1,0,8.6,Teacher
83,81,66,89,1,4,1,1,8.6,Software
59,71,81,74,1,1,1,0,8.6,Teacher
61,68,84,68,1,1,0,0,8.6,Teacher
74,84,64,84,1,3,3,0,8.6,HR
83,83,64,81,1,3,2,1,8.6,HR
60,72,86,69,1,2,1,1,8.6,Teacher
69,83,77,82,0,6,3,1,8.6,HR
68,91,79,79,0,6,3,0,8.6,HR
54,76,81,66,1,2,1,1,8.6,Teacher
83,71,56,79,1,6,2,1,8.6,Software
84,87,69,80,1,6,1,1,8.6,Software
94,82,55,80,1,4,1,1,8.6,Teacher
58,73,91,68,1,1,1,0,8.6,Teacher
64,78,83,77,0,1,0,0,8.6,Teacher
88,82,72,80,1,6,2,1,8.6,Software
75,93,70,76,1,6,2,0,8.6,HR
83,84,79,80,1,6,3,0,8.6,HR
67,68,87,70,0,2,0,0,8.6,Teacher
56,60,92,66,0,1,0,1,8.6,Teacher
84,81,68,88,1,6,1,1,8.6,Software
77,94,70,75,0,6,3,0,8.6,HR
71,92,62,85,1,4,3,1,8.6,HR
80,90,62,88,1,4,3,1,8.6,HR
84,84,68,80,1,4,3,0,8.6,HR
89,82,69,83,1,6,4,1,8.6,Software
66,73,90,66,1,2,0,1,8.6,Teacher
77,88,76,77,0,5,2,0,8.6,HR
65,62,83,65,0,3,1,0,8.6,Teacher
91,71,67,84,1,4,2,1,8.6,Software
81,86,61,88,1,6,3,1,8.6,Software
82,70,58,83,1,7,4,1,8.6,Software
90,86,73,76,1,6,4,1,8.6,Software
54,73,80,67,1,1,1,0,8.6,Teacher
91,75,60,81,1,4,4,1,8.6,Software
84,85,69,75,1,7,3,1,8.6,HR
61,75,89,74,1,1,0,1,8.6,Teacher
63,71,90,65,0,3,1,0,8.6,Teacher
72,85,69,79,0,5,2,1,8.6,HR
68,87,65,75,1,5,1,1,8.6,HR
81,85,60,83,1,5,2,1,8.6,Software
61,67,90,70,1,1,1,1,8.6,Teacher
82,89,72,84,1,4,1,1,8.6,Software
86,71,58,87,1,4,2,1,8.6,Software
53,61,92,72,1,2,1,0,8.6,Teacher
76,88,60,78,1,4,1,0,8.6,HR
85,89,55,84,1,7,4,1,8.6,Software
79,93,72,85,1,3,2,1,8.6,HR
51,71,89,69,1,2,1,0,8.6,Teacher
60,67,82,74,0,1,0,1,8.6,Teacher
84,80,73,79,1,4,4,1,8.6,Teacher
69,91,79,88,1,4,3,0,8.6,HR
87,74,61,89,1,7,3,1,8.6,Software
78,83,79,75,1,3,3,1,8.6,HR
93,86,56,89,1,6,4,1,8.6,Software
68,78,90,74,0,3,1,1,8.6,Teacher
81,89,60,82,1,4,4,1,8.6,Software
81,94,68,84,1,3,1,0,8.6,HR
82,84,74,85,1,5,2,1,8.6,Software
53,61,87,69,1,1,1,0,8.6,HR
76,91,78,87,0,4,1,1,8.6,HR
86,84,68,85,1,7,2,1,8.6,Software
69,83,73,87,1,6,1,1,8.6,HR
65,91,78,78,0,6,2,1,8.6,HR
82,70,68,86,1,6,3,1,8.6,Software
89,82,60,87,1,6,3,1,8.6,Software
85,70,59,88,1,5,2,1,8.6,Software
57,74,84,67,0,1,1,0,8.6,Teacher
92,86,70,76,1,6,1,1,8.6,Software
57,71,88,71,1,1,0,1,8.6,Teacher
69,92,69,77,0,3,3,0,8.6,HR
83,90,61,88,1,3,1,0,8.6,HR
83,89,73,84,1,6,1,1,8.6,Software
58,61,88,71,0,2,0,1,8.6,Teacher
88,75,71,81,1,6,3,1,8.6,Software
80,89,77,79,1,4,1,1,8.6,HR
65,81,62,78,0,3,3,1,8.6,HR
51,79,87,71,0,1,1,0,8.6,Teacher
60,77,86,77,0,3,0,0,8.6,Teacher
58,74,91,75,1,3,0,0,8.6,Teacher
53,71,91,78,1,2,0,1,8.6,Teacher
66,90,65,88,0,3,3,0,8.6,HR
70,85,77,82,0,6,1,0,8.6,HR
68,88,73,89,1,6,1,1,8.6,Teacher
80,78,66,80,1,4,1,1,8.6,Software
84,91,65,86,0,3,1,0,8.6,HR
52,63,85,76,0,2,1,0,8.6,HR
81,91,68,80,0,3,2,1,8.6,HR
75,86,75,84,0,5,3,0,8.6,HR
80,85,56,76,1,7,4,1,8.6,Software
51,63,93,65,0,1,1,0,8.6,Teacher
84,87,62,86,1,7,1,1,8.6,Software
80,75,73,82,1,5,4,1,8.6,Software
76,89,65,80,1,3,3,1,8.6,HR
54,74,85,68,1,1,0,0,8.6,Teacher
86,74,71,76,1,5,2,1,8.6,Software
92,75,68,78,1,5,3,1,8.6,Software
64,75,94,67,0,1,1,0,8.6,Teacher
81,86,58,84,1,5,4,1,8.6,Software
63,72,83,77,0,1,0,1,8.6,Teacher
69,84,76,79,1,3,2,0,8.6,HR
75,91,63,84,0,6,1,1,8.6,HR
81,91,79,81,1,4,2,1,8.6,HR
64,69,94,65,0,2,0,0,8.6,Teacher
86,76,60,80,1,4,4,1,8.6,Software
84,88,76,81,0,5,2,0,8.6,HR
55,62,85,65,1,2,1,0,8.6,Teacher
54,62,85,69,0,2,1,1,8.6,Teacher
61,72,91,65,0,2,1,1,8.6,Teacher
87,78,73,76,1,6,3,1,8.6,Software
84,94,71,87,1,6,2,1,8.6,HR
75,87,71,84,1,6,1,1,8.6,HR
82,93,77,85,0,3,1,1,8.6,HR
63,68,83,74,0,3,0,1,8.6,Teacher
87,86,59,78,1,4,4,1,8.6,Software
75,80,74,75,0,6,3,0,8.6,HR
86,73,62,87,1,4,1,1,8.6,Software
74,93,63,87,0,5,2,0,8.6,HR
94,88,64,76,1,4,4,1,8.6,Software
65,65,90,74,0,1,1,0,8.6,Teacher
94,84,59,76,1,7,1,1,8.6,Software
51,72,87,79,0,2,1,1,8.6,Teacher
64,61,81,77,1,1,1,1,8.6,Teacher
60,73,81,71,1,1,0,0,8.6,Teacher
57,69,90,66,1,1,0,1,8.6,Teacher
93,80,69,87,1,4,1,1,8.6,Software
58,75,80,68,0,2,0,0,8.6,Teacher
62,61,80,78,0,3,0,0,8.6,Software
88,87,57,89,1,7,3,1,8.6,Software
60,66,90,76,1,2,1,1,8.6,Teacher
84,94,74,80,0,4,3,0,8.6,HR
58,74,87,78,1,3,1,0,8.6,Teacher
69,67,90,79,0,3,1,0,8.6,Teacher
70,91,65,87,0,6,1,1,8.6,HR
86,84,56,87,1,7,4,1,8.6,Software
80,89,66,80,0,5,2,1,8.6,HR
51,76,88,65,0,2,0,1,8.6,Teacher
63,65,93,65,1,3,1,0,8.6,Teacher
66,70,83,67,1,2,1,0,8.6,Teacher
75,94,79,89,0,4,3,0,8.6,HR
67,76,88,78,0,1,0,1,8.6,Teacher
84,80,79,77,1,3,2,0,8.6,HR
62,76,80,66,0,3,0,0,8.6,Teacher
74,83,66,85,1,4,2,0,8.6,HR
81,83,77,86,1,3,2,1,8.6,HR
71,88,73,89,0,4,2,1,8.6,HR
50,74,81,77,0,3,1,0,8.6,Teacher
65,74,92,74,1,3,1,0,8.6,Teacher
82,82,69,76,1,6,4,1,8.6,Software
84,88,59,86,1,5,1,1,8.6,Software
78,88,69,87,0,3,2,1,8.6,HR
60,74,85,79,0,1,0,1,8.6,Teacher
84,86,59,78,1,5,3,1,8.6,Software
69,63,81,69,0,1,0,1,8.6,Teacher
81,87,77,82,0,6,2,0,8.6,HR
80,93,75,89,0,6,1,0,8.6,HR
54,78,93,68,1,3,1,1,8.6,Teacher
72,85,75,85,1,6,2,0,8.6,HR
80,75,69,88,1,5,4,1,8.6,Software
81,88,73,77,1,5,4,1,8.6,Software
57,77,84,68,0,1,0,1,8.6,Teacher
65,65,80,70,1,2,1,1,8.6,Teacher
90,71,70,75,1,5,3,1,8.6,Software
58,69,90,67,0,1,0,1,8.6,Teacher
67,89,78,82,0,3,1,1,8.6,Software
75,80,73,85,0,3,3,1,8.6,HR
75,93,65,83,0,6,2,1,8.6,HR
60,67,82,76,1,1,0,0,8.6,Teacher
68,75,87,76,0,3,0,1,8.6,Teacher
52,66,90,78,1,1,1,1,8.6,Teacher
66,86,79,76,0,4,2,0,8.6,HR
61,71,84,71,1,2,0,1,8.6,Teacher
69,75,93,67,0,2,1,0,8.6,Teacher
75,86,76,88,0,6,1,0,8.6,HR
70,93,71,85,0,5,2,0,8.6,Teacher
81,79,64,84,1,4,2,1,8.6,Software
68,77,86,75,0,1,0,0,8.6,Teacher
54,64,89,71,0,2,0,1,8.6,Software
54,65,85,67,1,1,1,0,8.6,Software
94,88,61,83,1,5,2,1,8.6,Software
51,79,83,75,0,3,0,0,8.6,Teacher
93,83,74,82,1,4,1,1,8.6,Software
72,92,76,80,1,3,3,0,8.6,HR
72,93,67,88,0,5,3,1,8.6,HR
65,92,64,76,0,4,3,0,8.6,HR
80,78,56,83,1,4,4,1,8.6,Software
83,82,56,87,1,4,2,1,8.6,Software
55,61,82,68,1,2,0,1,8.6,Teacher
93,78,72,77,1,7,3,1,8.6,Software
87,72,59,79,1,6,2,1,8.6,Software
80,75,55,86,1,7,2,1,8.6,Software
67,62,82,69,0,1,1,1,8.6,Teacher
73,80,74,82,1,5,1,1,8.6,HR
89,78,74,83,1,7,4,1,8.6,Software
62,71,87,70,0,1,0,1,8.6,Teacher
81,86,73,86,1,3,2,1,8.6,HR
83,81,63,84,1,5,3,0,8.6,HR
84,83,71,86,1,7,4,1,8.6,Software
91,73,56,78,1,6,2,1,8.6,Software
93,79,71,85,1,6,4,1,8.6,Software
66,67,89,66,1,3,1,1,8.6,Teacher
56,73,93,72,1,3,1,0,8.6,Teacher
71,89,62,88,1,5,3,0,8.6,HR
92,72,69,83,1,4,3,1,8.6,Software
90,79,73,87,1,7,2,1,8.6,Software
51,68,82,70,0,3,1,0,8.6,Teacher
75,87,66,76,0,6,1,1,8.6,HR
81,93,69,85,1,4,1,0,8.6,HR
90,75,74,76,1,5,1,1,8.6,Software
71,92,78,80,1,4,1,0,8.6,HR
53,75,84,70,1,2,1,0,8.6,Software
51,71,94,79,0,1,1,1,8.6,Teacher
83,74,63,85,1,6,1,1,8.6,Software
93,85,67,85,1,4,3,1,8.6,Software
67,77,89,73,1,1,0,0,8.6,Teacher
72,81,67,89,1,6,3,0,8.6,HR
63,64,89,69,1,1,0,0,8.6,Teacher
84,87,68,88,1,4,3,1,8.6,Software
81,79,60,86,1,7,3,1,8.6,Software
68,84,60,75,0,6,3,0,8.6,HR
66,93,72,76,1,5,1,0,8.6,HR
56,70,92,79,1,3,1,0,8.6,Teacher
83,86,69,89,1,6,1,1,8.6,HR
71,91,65,83,1,5,1,1,8.6,HR
68,76,82,78,1,2,0,0,8.6,Teacher
84,71,62,79,1,6,2,1,8.6,Software
86,76,55,75,1,4,3,1,8.6,Software
58,63,94,66,1,3,1,0,8.6,Teacher
69,93,61,89,0,5,1,1,8.6,HR
83,93,77,87,1,5,3,0,8.6,HR
92,76,69,85,1,5,3,1,8.6,Software
81,90,63,87,1,5,1,1,8.6,HR
80,86,56,82,1,4,1,1,8.6,Software
54,68,85,71,1,3,1,0,8.6,Teacher
93,83,61,80,1,4,4,1,8.6,Software
75,90,72,76,0,6,2,0,8.6,HR
91,84,66,80,1,7,1,1,8.6,Software
93,78,56,85,1,4,2,1,8.6,Software
58,72,90,74,1,1,0,1,8.6,Teacher
90,84,57,77,1,4,4,1,8.6,Software
74,85,71,80,0,5,2,1,8.6,HR
91,89,59,76,1,5,1,1,8.6,Teacher
57,66,89,72,1,1,1,1,8.6,Teacher
92,85,73,83,1,4,2,1,8.6,Software
51,72,92,70,0,2,1,0,8.6,Teacher
57,66,84,66,1,3,1,1,8.6,Teacher
89,82,62,89,1,7,1,1,8.6,Software
83,91,77,80,1,5,2,0,8.6,HR
88,79,73,75,1,7,2,1,8.6,Software
89,84,65,81,1,5,3,1,8.6,Software
54,70,87,79,0,2,1,0,8.6,Teacher
61,72,87,75,0,3,0,1,8.6,Teacher
75,88,61,84,1,5,2,1,8.6,HR
69,69,84,75,0,1,1,1,8.6,Teacher
51,76,93,72,0,3,1,0,8.6,Teacher
52,74,92,67,0,3,1,1,8.6,Teacher
56,69,88,78,1,2,0,0,8.6,Teacher
82,84,77,86,1,5,3,0,8.6,HR
73,80,68,80,1,6,1,0,8.6,HR
79,94,63,81,0,4,2,0,8.6,HR
88,78,71,81,1,4,2,1,8.6,Software
62,75,81,71,1,3,0,1,8.6,Teacher
61,74,90,74,1,3,1,0,8.6,Software
91,87,57,81,1,6,2,1,8.6,HR
82,77,73,76,1,6,3,1,8.6,Software
89,87,63,86,1,5,4,1,8.6,Software
88,77,61,79,1,5,4,1,8.6,Software
52,64,88,71,0,1,0,0,8.6,Teacher
65,62,80,69,1,2,1,1,8.6,Teacher
94,79,71,89,1,7,1,1,8.6,Software
73,87,69,77,1,5,1,0,8.6,HR
90,71,59,87,1,4,3,1,8.6,Software
69,90,63,82,1,6,1,1,8.6,HR
63,64,80,78,1,2,1,1,8.6,Teacher
52,76,84,70,0,1,1,1,8.6,Teacher
76,80,71,75,1,5,3,0,8.6,HR
66,73,94,71,1,1,1,0,8.6,Teacher
86,75,66,89,1,6,2,1,8.6,Software
58,63,81,69,1,2,0,0,8.6,Teacher
50,65,85,73,1,2,1,1,8.6,Teacher
81,78,62,86,1,5,1,1,8.6,Software
79,89,73,81,1,4,1,1,8.6,HR
81,87,71,82,1,5,3,1,8.6,HR
81,94,64,81,1,3,2,0,8.6,HR
66,62,80,66,1,2,0,0,8.6,Teacher
77,92,76,81,1,3,2,0,8.6,HR
70,91,63,86,0,5,3,1,8.6,HR
59,69,82,73,1,2,1,0,8.6,Teacher
54,60,90,75,1,3,1,0,8.6,Teacher
90,79,73,79,1,4,3,1,8.6,Software
68,80,65,82,0,3,3,1,8.6,HR
52,77,83,67,0,3,0,0,8.6,Teacher
81,70,63,87,1,4,3,1,8.6,Software
90,70,62,88,1,4,1,1,8.6,Software
80,70,63,87,1,5,1,1,8.6,Software
63,79,80,66,1,1,1,0,8.6,Teacher
79,93,74,88,0,3,3,1,8.6,HR
80,80,57,77,1,5,4,1,8.6,Software
94,76,58,78,1,5,1,1,8.6,Software
65,71,93,79,0,3,1,1,8.6,Teacher
53,77,81,72,1,3,0,0,8.6,Teacher
76,83,79,89,0,3,2,1,8.6,HR
89,86,65,81,1,4,4,1,8.6,Software
59,70,80,69,0,2,0,0,8.6,HR
81,87,61,89,1,3,2,1,8.6,HR
62,63,83,70,1,3,0,0,8.6,Teacher
78,90,72,86,1,6,2,0,8.6,HR
94,87,61,81,1,7,1,1,8.6,Software
68,79,83,70,1,1,0,1,8.6,Teacher
69,92,78,77,1,6,2,0,8.6,HR
63,70,94,76,0,2,1,1,8.6,Teacher
75,84,79,89,1,3,1,1,8.6,HR
78,88,64,88,0,5,3,0,8.6,HR
76,82,79,84,1,6,1,1,8.6,Software
74,89,69,85,0,5,1,1,8.6,Teacher
83,84,58,84,1,6,3,1,8.6,Software
85,72,74,76,1,6,2,1,8.6,Software
81,74,70,88,1,5,3,1,8.6,Software
69,86,68,79,1,3,2,1,8.6,HR
82,87,59,86,1,5,4,1,8.6,Software
92,87,71,85,1,5,2,1,8.6,Software
84,91,70,77,1,3,3,0,8.6,HR
86,88,62,84,1,4,1,1,8.6,Software
65,93,77,83,0,4,1,0,8.6,HR
55,62,81,79,1,2,1,0,8.6,Teacher
70,81,62,89,1,5,1,0,8.6,HR
88,84,56,78,1,7,1,1,8.6,Software
93,73,62,85,1,7,4,1,8.6,Software
74,92,69,79,1,4,1,0,8.6,HR
75,91,60,89,1,3,2,0,8.6,HR
81,78,71,85,1,7,2,1,8.6,Software
69,79,87,75,0,1,1,1,8.6,Teacher
56,60,90,68,0,2,0,0,8.6,Teacher
52,68,84,76,1,2,0,0,8.6,Teacher
68,86,66,78,1,3,3,0,8.6,HR
82,89,61,76,1,7,3,1,8.6,Teacher
82,91,69,85,0,3,2,0,8.6,HR
64,63,89,76,0,3,0,0,8.6,Teacher
81,79,70,83,1,7,3,1,8.6,Software
89,78,62,77,1,6,3,1,8.6,Software
54,69,89,67,1,2,1,1,8.6,Teacher
59,66,82,67,1,1,1,1,8.6,Teacher
93,70,64,89,1,6,3,1,8.6,Software
91,87,56,81,1,4,3,1,8.6,Software
83,71,59,84,1,4,4,1,8.6,HR
80,86,68,89,0,4,3,0,8.6,HR
51,72,93,75,0,3,0,0,8.6,Teacher
66,92,63,82,0,3,3,1,8.6,HR
92,82,62,75,1,5,3,1,8.6,Software
60,76,86,79,1,2,1,0,8.6,Teacher
89,84,69,83,1,6,1,1,8.6,Software
66,74,84,76,1,3,1,0,8.6,Teacher
84,91,76,89,1,4,2,1,8.6,HR
80,70,67,77,1,4,4,1,8.6,Software
91,75,58,89,1,4,1,1,8.6,Software
61,61,90,78,1,3,0,1,8.6,Teacher
59,60,86,66,0,3,0,0,8.6,Teacher
73,84,65,80,1,4,3,0,8.6,HR
71,92,63,87,1,6,2,0,8.6,HR
90,76,68,84,1,5,2,1,8.6,Software
71,85,75,81,1,6,1,1,8.6,HR
68,81,63,78,0,3,1,0,8.6,HR
85,71,62,85,1,7,1,1,8.6,Software
81,81,65,88,1,6,2,1,8.6,Software
73,91,73,89,1,6,1,1,8.6,HR
54,74,92,66,0,2,1,1,8.6,Teacher
54,71,80,68,1,3,1,0,8.6,Teacher
73,81,71,78,1,6,1,0,8.6,HR
77,82,77,80,1,3,1,0,8.6,HR
62,79,90,72,0,1,0,1,8.6,Teacher
86,85,61,88,1,7,4,1,8.6,Software
57,61,89,77,1,1,0,1,8.6,Teacher
82,80,66,77,1,5,3,1,8.6,Software
75,92,79,83,1,3,1,0,8.6,HR
67,92,74,85,0,5,3,1,8.6,HR
50,78,90,69,0,2,0,1,8.6,Teacher
74,86,60,85,0,5,3,1,8.6,HR
84,72,63,87,1,4,2,1,8.6,Teacher
84,77,62,79,1,4,3,1,8.6,HR
74,87,67,76,1,5,3,0,8.6,HR
68,86,63,88,0,4,3,1,8.6,HR
64,67,88,73,0,2,0,0,8.6,Teacher
93,88,64,81,1,5,2,1,8.6,Software
51,62,86,74,0,3,0,1,8.6,Teacher
70,89,62,86,0,3,2,1,8.6,HR
80,71,64,76,1,7,1,1,8.6,Software
77,89,75,86,0,6,3,0,8.6,HR
54,79,83,72,1,1,0,0,8.6,Teacher
91,85,68,89,1,7,3,1,8.6,Software
62,76,80,78,0,2,0,1,8.6,Teacher
86,74,70,84,1,5,4,1,8.6,Software
82,94,63,89,1,4,3,1,8.6,HR
66,88,78,83,1,5,3,0,8.6,HR
93,76,64,78,1,5,1,1,8.6,Software
54,67,87,69,1,3,1,0,8.6,Teacher
68,83,76,81,1,6,1,1,8.6,HR
56,70,91,66,1,1,1,1,8.6,Teacher
80,81,74,78,1,4,2,1,8.6,Software
79,85,72,82,1,4,1,1,8.6,HR
68,86,69,84,0,6,1,1,8.6,HR
55,67,82,78,0,2,1,1,8.6,Teacher
60,66,81,67,1,2,0,0,8.6,Teacher
88,88,69,79,1,4,2,1,8.6,HR
70,80,69,82,0,5,1,0,8.6,HR
73,93,63,75,1,6,2,1,8.6,HR
63,60,89,73,0,3,0,0,8.6,Teacher
65,64,89,67,1,2,1,0,8.6,Teacher
64,72,87,75,0,2,1,1,8.6,Teacher
91,72,66,84,1,5,2,1,8.6,Software
52,65,94,72,1,3,1,0,8.6,Teacher
73,90,68,85,1,4,3,0,8.6,HR
82,82,68,84,1,6,2,1,8.6,Software
84,78,63,76,1,5,3,1,8.6,Software
59,62,89,78,0,2,0,0,8.6,Teacher
90,84,67,78,1,7,2,1,8.6,Software
59,62,80,76,0,3,0,0,8.6,Teacher
90,89,66,89,1,7,4,1,8.6,Software
63,75,82,73,0,1,1,1,8.6,Teacher
76,88,72,75,0,6,2,0,8.6,Teacher
52,66,92,70,0,3,0,1,8.6,Software
65,79,92,76,1,2,0,1,8.6,Teacher
94,85,69,89,1,4,3,1,8.6,Software
66,74,91,78,1,3,1,0,8.6,Teacher
58,69,90,70,0,2,0,1,8.6,Teacher
65,75,85,79,0,1,0,0,8.6,Teacher
55,65,84,72,0,2,0,0,8.6,Teacher
82,94,76,75,0,5,2,0,8.6,HR
53,60,86,68,0,1,1,0,8.6,Teacher
84,74,62,80,1,5,2,1,8.6,Software
69,80,73,86,0,3,2,0,8.6,HR
66,94,70,78,1,5,3,0,8.6,HR
61,60,91,75,0,2,1,0,8.6,Teacher
67,88,74,78,0,6,3,0,8.6,HR
71,89,72,80,1,5,1,1,8.6,HR
66,67,83,70,1,2,0,1,8.6,Teacher
84,88,61,83,1,3,1,1,8.6,HR
91,75,66,84,1,5,2,1,8.6,Software
84,82,62,89,1,4,3,1,8.6,Software
90,87,58,75,1,5,1,1,8.6,Software
83,82,71,83,0,3,1,1,8.6,HR
86,83,64,88,1,4,4,1,8.6,Software
93,72,55,84,1,6,1,1,8.6,Software
80,73,59,81,1,6,3,1,8.6,Software
83,71,63,84,1,7,3,1,8.6,Software
66,79,84,68,1,2,1,1,8.6,Teacher
71,87,67,88,1,4,2,1,8.6,HR
88,77,68,89,1,4,2,1,8.6,Software
57,61,90,65,1,3,0,0,8.6,Teacher
85,79,67,80,1,7,1,1,8.6,Software
59,66,83,71,0,1,0,1,8.6,Teacher
68,89,67,80,0,5,3,1,8.6,HR
80,78,64,81,1,7,3,1,8.6,Software
90,84,65,81,1,6,3,1,8.6,Software
56,68,86,78,1,1,1,1,8.6,Software
55,60,93,76,1,1,1,0,8.6,Teacher
65,87,71,82,1,3,3,0,8.6,HR
53,65,93,79,0,2,1,1,8.6,Teacher
85,84,59,85,1,4,2,1,8.6,Software
82,85,64,87,1,5,2,1,8.6,HR
91,82,70,77,1,5,4,1,8.6,Software
80,86,61,86,0,6,1,1,8.6,HR
91,87,73,82,1,6,4,1,8.6,Software
66,94,74,88,0,3,2,1,8.6,HR
91,82,63,80,1,6,3,1,8.6,Software
93,80,64,89,1,6,2,1,8.6,Software
65,93,60,80,0,5,2,0,8.6,HR
91,70,71,82,1,6,2,1,8.6,Software
78,88,68,83,1,5,2,0,8.6,HR
67,83,62,87,0,6,3,0,8.6,HR
90,72,56,75,1,7,3,1,8.6,Software
61,68,84,74,1,1,1,1,8.6,Teacher
51,68,92,73,1,2,1,1,8.6,Software
84,92,63,89,1,4,2,0,8.6,HR
84,86,75,88,1,5,3,1,8.6,HR
60,65,83,77,1,3,1,1,8.6,Teacher
51,62,80,73,1,2,0,1,8.6,Teacher
80,77,66,89,1,5,3,1,8.6,Software
59,68,82,71,0,2,1,0,8.6,Teacher
59,74,87,66,0,3,1,1,8.6,Teacher
70,89,69,87,0,3,1,1,8.6,HR
82,85,69,84,1,6,1,1,8.6,Software
73,87,70,88,1,6,1,0,8.6,Teacher
74,87,70,75,1,3,2,1,8.6,HR
81,89,64,77,0,4,3,1,8.6,HR
54,64,82,75,1,2,1,1,8.6,Teacher
51,71,91,72,1,2,1,1,8.6,HR
50,67,92,70,0,3,1,0,8.6,Teacher
89,86,56,75,1,7,2,1,8.6,Software
72,90,60,75,1,6,1,0,8.6,HR
84,72,70,84,1,6,3,1,8.6,Software
66,80,69,81,0,4,3,1,8.6,HR
61,75,86,72,1,1,1,0,8.6,Teacher
71,94,63,75,0,6,1,0,8.6,HR
80,86,78,77,1,6,1,0,8.6,HR
65,68,85,74,1,1,1,1,8.6,Teacher
70,94,65,82,1,3,2,0,8.6,HR
69,72,83,79,1,1,1,1,8.6,Teacher
75,89,67,89,0,3,2,1,8.6,HR
91,86,62,85,1,4,3,1,8.6,Software
61,72,88,75,0,1,1,1,8.6,Teacher
81,85,75,82,1,5,1,0,8.6,HR
79,88,75,89,1,5,3,1,8.6,HR
75,83,78,84,1,5,1,1,8.6,HR
89,75,68,81,1,6,3,1,8.6,Software
91,82,73,86,1,7,4,1,8.6,Software
81,90,60,81,1,4,1,1,8.6,HR
76,80,67,77,0,5,2,1,8.6,HR
84,85,76,84,1,3,3,1,8.6,HR
74,86,65,77,1,5,2,0,8.6,HR
89,73,62,87,1,5,2,1,8.6,Software
63,60,94,70,0,1,1,0,8.6,Teacher
75,84,73,77,1,5,3,0,8.6,HR
94,86,69,83,1,5,3,1,8.6,Software
80,83,64,85,1,5,1,1,8.6,HR
66,66,84,68,1,3,1,1,8.6,Teacher
93,73,69,77,1,5,1,1,8.6,Software
75,82,68,87,1,6,3,1,8.6,HR
64,60,88,65,0,3,0,1,8.6,Teacher
68,75,91,75,1,3,0,0,8.6,Teacher
71,89,74,82,1,5,2,0,8.6,Teacher
92,88,56,79,1,4,4,1,8.6,Software
81,83,78,80,0,3,3,0,8.6,HR
66,76,81,78,1,2,0,0,8.6,Teacher
82,80,60,89,1,5,4,1,8.6,Software
57,66,88,67,0,2,1,0,8.6,Teacher
52,65,84,78,0,3,1,0,8.6,Teacher
76,86,60,83,0,3,3,0,8.6,HR
69,63,83,70,0,3,0,0,8.6,Teacher
86,78,55,83,1,4,1,1,8.6,Software
58,79,94,75,1,2,0,0,8.6,Teacher
82,84,66,78,1,5,3,1,8.6,Software
64,65,83,79,1,1,0,0,8.6,Teacher
59,78,90,77,0,2,0,1,8.6,Teacher
56,74,80,78,1,1,1,1,8.6,Teacher
79,92,66,85,1,6,3,0,8.6,HR
52,73,92,74,1,3,1,1,8.6,Teacher
84,89,63,86,0,4,3,1,8.6,HR
84,87,73,78,1,4,2,1,8.6,Software
61,65,89,75,1,3,1,1,8.6,Teacher
92,86,69,76,1,5,1,1,8.6,Software
76,86,66,85,1,4,3,0,8.6,HR
73,80,79,75,1,5,2,1,8.6,HR
77,89,67,89,1,5,2,1,8.6,HR
61,77,92,69,1,2,0,0,8.6,Teacher
67,65,94,77,0,1,1,1,8.6,Teacher
51,62,88,67,0,1,1,0,8.6,Teacher
63,77,86,78,0,2,1,1,8.6,Teacher
59,69,83,73,1,1,0,1,8.6,Teacher
82,88,61,76,1,3,1,1,8.6,HR
84,79,66,88,1,4,2,1,8.6,Software
67,74,88,65,1,3,0,0,8.6,Teacher
93,83,68,80,1,6,1,1,8.6,Software
